site_name,SITE_NAME,SID,SITE_NAME,SOIL,TEXTURE,FIELD_NAME,FSA_FIELDNUM,TILLAGE,2015_CROP,2016_CROP,2017_CROP,2018_CROP,2019_CROP,2020_CROP,2021_CROP,short_name,pedon_id,latitude,longitude,Depth (cm),serial number,,2016,2017,2018,2019,# samples,min,max,mean,stdev,mast,msst,mwst,msst-mwst
110b,110b,1663,110b,RUSKTOWN,sl,TOP FIELD,3,N,SOYBEAN,SOYBEAN,RYE,CORN,SOYBEAN,OATS,CORN,sl_notill,2015WI033006,44.892914,-91.892776,10,10397959,,Yes,Yes,No,No,8602,-2.7,30.7,11.5,9.5,11.36,23.08,0.44,22.64
110t,110t,1664,110t,RUSKTOWN,sl,TOP FIELD,3,N,SOYBEAN,SOYBEAN,RYE,CORN,SOYBEAN,OATS,CORN,sl_notill,2015WI033006,44.892914,-91.892776,5,10398006,,Yes,Yes,Yes,Yes,17493,-10.4,34.7,10.5,10.5,10.47,23.6,-0.91,24.51
112b,112b,1665,112b,RASSET,sl,MIDDLE FIELD,4,N,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sl_notill,2015WI033005,44.89183,-91.892776,10,2010902,,Yes,Yes,Yes,No,13054,-6,35,10.9,10.4,10.78,23.66,-0.56,24.22
112t,112t,1666,112t,RASSET,sl,MIDDLE FIELD,4,N,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sl_notill,2015WI033005,44.89183,-91.892776,5,2010903,,Yes,Yes,Yes,Yes,17493,-11.8,36.8,10.6,10.8,10.51,23.86,-1.07,24.93
132b,132b,1667,132b,KOMRO,ls,PRAIRIE,1,N,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,ls_notill,2015WI033021,44.894363,-91.89209,10,9910208,,Yes,Missing 4/17-11/17,Yes,Yes,14934,-9.8,35.8,9.5,10.4,10.74,23.89,-0.65,24.54
132t,132t,1668,132t,KOMRO,ls,PRAIRIE,1,N,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,PRAIRIE,ls_notill,2015WI033021,44.894363,-91.89209,5,20151393,,No,No,Missing 9/18-11/18,Ends 9/19,6935,-10.9,41.1,9.7,12.2,9.7,24.28,-1.74,26.02
200b,200b,1669,200b,RASSET,sil,BOTTOM CHECK  ,4,Y,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sil_till,2015WI033003,44.890709,-91.890762,10,2010889,,Yes,Yes,Yes,Ends 9/19,16441,-10.9,28.2,9.4,9.3,9.52,21,-0.63,21.63
200t,200t,1670,200t,RASSET,sil,BOTTOM CHECK  ,4,Y,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sil_till,2015WI033003,44.890709,-91.890762,5,9708324/20459596,,Yes,Yes,Yes,Ends 7/19,15708,-12.4,32.1,9,9.6,9.62,21.28,-0.9,22.18
201b,201b,1671,201b,FINCHFORD,ls,TOP CHECK  ,4,Y,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,ls_till,2015WI033007,44.892319,-91.887947,10,10401920,,Yes,Yes,Yes,Yes,17493,-11.3,35.1,10.6,10.5,10.57,23.85,-1.06,24.91
201t,201t,1672,201t,FINCHFORD,ls,TOP CHECK,4,Y,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,ls_till,2015WI033007,44.892319,-91.887947,5,10398011,,Yes,Yes,Yes,Yes,17493,-12.2,36.9,10.6,10.9,10.58,24.12,-1.29,25.41
202b,202b,1673,202b,KEVILAR,sil,TOP CHECK,4,Y,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sil_till,2015WI033009,44.892269,-91.882439,10,2010890,,Yes,Yes,Yes,Yes,17494,-6.8,30.3,9.6,9.4,9.56,21.42,-0.7,22.12
202t,202t,1674,202t,KEVILAR,sil,TOP CHECK,4,Y,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sil_till,2015WI033009,44.892269,-91.882439,5,9708316/20459586,,Yes,Yes,No,Ends 9/19,12073,-9,34.6,9.6,9.6,9.75,21.24,-0.78,22.02
45b,45b,1657,45b,RASSET,sil,BOTTOM FIELD,5,N,OATS,SOYBEAN,RYE,CORN,SOYBEAN,OATS,CORN,sil_notill,2015WI033014,44.889614,-91.88475,10,2010894,,Yes,Yes,Yes,Yes,17493,-9.5,30.8,9.3,9.4,9.26,21.08,-0.89,21.97
45t,45t,1658,45t,RASSET,sil,BOTTOM FIELD,4,N,CORN,RYE,CORN,SOYBEAN,OATS,CORN,SOYBEAN,sil_notill,2015WI033014,44.889614,-91.88475,5,9754790,,No,Yes,Yes,Yes,13231,-10.6,32.8,8.9,9.9,8.97,21.33,-1.67,23
